,Name,Size,Price,Location
0,3 Bedroom House,"


598 m²",R 6 200 000,Murdock Valley
1,6 Bedroom House,"
1 004 m²",R 8 950 000,Glencairn Heights
2,Vacant Land,"


696 m²",R 2 500 000,Simons Town Central
3,3 Bedroom House,"


321 m²",R 2 495 000,Glencairn Heights
4,3 Bedroom House,"


535 m²",R 3 550 000,Simons Kloof
5,Vacant Land,27 000 m²,R 12 350 000,Glencairn Heights
6,4 Bedroom House,"


558 m²",R 3 390 000,Cairnside
7,5 Bedroom House,"


613 m²",R 5 150 000,Smitswinkelbaai
8,3 Bedroom House,"
1 800 m²",R 4 800 000,Welcome Glen
9,3 Bedroom House,"


644 m²",R 2 600 000,Glencairn
10,2 Bedroom Apartment,"


112 m²",R 2 985 000,Glencairn Heights
11,6 Bedroom House,"


985 m²",R 9 750 000,Glencairn
12,6 Bedroom House,"
4





3",R 4 750 000,Simons Town Central
13,3 Bedroom House,"


535 m²",R 3 550 000,Simons Town Central
14,Vacant Land,"


974 m²",R 2 100 000,Glen Marine
15,3 Bedroom House,"


721 m²",R 5 600 000,Cairnside
16,3 Bedroom House,"


852 m²",R 3 900 000,Cairnside
17,2 Bedroom House,"


135 m²",R 3 200 000,Murdock Valley
18,2 Bedroom Apartment,"



67 m²",R 1 695 000,Glencairn Heights
19,5 Bedroom House,"


787 m²",R 12 495 000,Seaforth
20,3 Bedroom House,"


598 m²",R 6 200 000,Murdock Valley
21,6 Bedroom House,"
1 004 m²",R 8 950 000,Glencairn Heights
22,Vacant Land,"


696 m²",R 2 500 000,Simons Town Central
23,3 Bedroom House,"


321 m²",R 2 495 000,Glencairn Heights
24,Vacant Land,27 000 m²,R 12 350 000,Simons Kloof
25,4 Bedroom House,"


558 m²",R 3 390 000,Glencairn Heights
26,5 Bedroom House,"


613 m²",R 5 150 000,Smitswinkelbaai
27,3 Bedroom House,"
1 800 m²",R 4 800 000,Welcome Glen
28,3 Bedroom House,"


644 m²",R 2 600 000,Glencairn
29,2 Bedroom Apartment,"


112 m²",R 2 985 000,Glencairn Heights
30,6 Bedroom House,"


985 m²",R 9 750 000,Glencairn
31,6 Bedroom House,"
4





3",R 4 750 000,Simons Town Central
32,3 Bedroom House,"


535 m²",R 3 550 000,Simons Town Central
33,Vacant Land,"


974 m²",R 2 100 000,Glen Marine
34,5 Bedroom House,"


613 m²",R 5 150 000,Cairnside
35,3 Bedroom House,"


721 m²",R 5 600 000,Cairnside
36,3 Bedroom House,"


852 m²",R 3 900 000,Glencairn
37,2 Bedroom House,"


135 m²",R 3 200 000,Murdock Valley
38,2 Bedroom Apartment,"



67 m²",R 1 695 000,Glencairn Heights
39,5 Bedroom House,"


787 m²",R 12 495 000,Seaforth
40,4 Bedroom House,"


577 m²",R 3 500 000,Glen Marine
41,Vacant Land,"


685 m²",R 1 400 000,Welcome Glen
42,1 Bedroom House,"


544 m²",R 2 350 000,Glen Marine
43,3 Bedroom House,"


573 m²",R 2 850 000,Welcome Glen
44,3 Bedroom House,"


657 m²",R 3 750 000,Cairnside
45,3 Bedroom House,"


595 m²",R 4 700 000,Glencairn Heights
46,3 Bedroom Townhouse,"


837 m²",R 9 500 000,Murdock Valley
47,3 Bedroom House,"


137 m²",R 3 450 000,Simons Town Central
48,2 Bedroom House,"


565 m²",R 4 450 000,Seaforth
49,4 Bedroom House,"
1 884 m²",R 17 900 000,Simons Town Central
50,4 Bedroom House,"


895 m²",R 8 495 000,Simons Town Central
51,6 Bedroom House,"


985 m²",R 9 750 000,Simons Kloof
52,3 Bedroom House,"


106 m²",R 2 750 000,Froggy Farm
53,3 Bedroom House,"


664 m²",R 5 950 000,Simons Town Central
54,3 Bedroom House,"


749 m²",R 4 750 000,Murdock Valley
55,2 Bedroom Apartment,"



71 m²",R 1 850 000,Cairnside
56,3 Bedroom House,"


525 m²",R 2 995 000,Simons Town Central
57,3 Bedroom House,"


525 m²",R 3 995 000,Glencairn Heights
58,2 Bedroom House,"


565 m²",R 4 450 000,Glencairn Heights
59,4 Bedroom House,"
2 536 m²",R 2 500 000,Simons Town Central
60,4 Bedroom House,"


526 m²",R 6 850 000,Seaforth
61,3 Bedroom Apartment,"
3





2",R 5 995 000,Dido Valley
62,Industrial Property,"
1 800 m²",R 14 950 000,Simons Town Central
63,3 Bedroom House,"


297 m²",R 5 500 000,Simons Town Central
64,4 Bedroom House,"


535 m²",R 5 900 000,Murdock Valley
65,3 Bedroom House,"


680 m²",R 3 900 000,Glencairn
66,3 Bedroom House,"


826 m²",R 4 600 000,Froggy Farm
67,2 Bedroom House,"


254 m²",R 3 300 000,Simons Town Central
68,2 Bedroom Apartment,"



97 m²",R 2 975 000,Glencairn
69,4 Bedroom House,"


522 m²",R 3 095 000,Glencairn Heights
70,Commercial Property,"


308 m²",R 3 800 000,Simons Town Central
71,4 Bedroom House,"


522 m²",R 3 095 000,Glencairn Heights
72,3 Bedroom House,"


837 m²",R 9 500 000,Simons Town Central
73,1 Bedroom Apartment,"



72 m²",R 2 100 000,Simons Town Central
74,2 Bedroom Apartment,"


115 m²",R 4 950 000,Dido Valley
75,3 Bedroom House,"


150 m²",R 3 950 000,Simons Town Central
76,2 Bedroom Apartment,"



67 m²",R 1 495 000,Simons Town Central
77,6 Bedroom House,"


680 m²",R 4 950 000,Glen Marine
78,6 Bedroom House,"


820 m²",R 4 200 000,Murdock Valley
79,Vacant Land,"


735 m²",R 1 900 000,Froggy Farm
80,Commercial Property,"


364 m²",R 6 500 000,Simons Town Central
81,3 Bedroom House,"


691 m²",R 2 550 000,Glencairn
82,3 Bedroom Apartment,"


145 m²",R 4 950 000,Dido Valley
83,4 Bedroom House,"


695 m²",R 13 800 000,Simons Kloof
84,2 Bedroom House,"


364 m²",R 6 500 000,Simons Town Central
85,3 Bedroom House,"


694 m²",R 4 700 000,Murdock Valley
86,4 Bedroom House,"
1 596 m²",R 13 849 900,Murdock Valley
87,3 Bedroom House,"


846 m²",R 3 600 000,Glencairn Heights
88,3 Bedroom House,"


239 m²",R 9 500 000,Simons Town Central
89,Vacant Land,"


595 m²",R 2 995 000,Simons Kloof
90,2 Bedroom House,"
1 000 m²",R 7 900 000,Froggy Farm
91,Vacant Land,"


778 m²",R 3 995 000,Simons Kloof
92,4 Bedroom House,"


695 m²",R 13 800 000,Simons Kloof
93,3 Bedroom House,"


297 m²",R 5 500 000,Simons Town Central
94,2 Bedroom House,"


280 m²",R 3 300 000,Simons Town Central
95,Vacant Land,"


685 m²",R 1 850 000,Harbour Heights
96,2 Bedroom Apartment,"


110 m²",R 2 900 000,Dido Valley
97,Vacant Land,"


748 m²",R 1 985 000,Cairnside
98,2 Bedroom Apartment,"



49 m²",R 1 195 000,Welcome Glen
99,Vacant Land,"


685 m²",R 1 400 000,Glen Marine
100,4 Bedroom House,"


574 m²",R 2 650 000,Welcome Glen
101,2 Bedroom House,"


595 m²",R 4 800 000,Simons Town Central
102,Vacant Land,"


946 m²",R 20 000 000,The Boulders
103,Vacant Land,"


886 m²",R 20 000 000,The Boulders
104,House,"


748 m²",R 1 995 000,Cairnside
105,Vacant Land,"


455 m²",R 2 200 000,Murdock Valley
106,Vacant Land,"


429 m²",R 1 495 000,Simons Town Central
107,3 Bedroom House,"


828 m²",R 4 900 000,Simons Town Central
108,4 Bedroom House,"


936 m²",R 3 990 000,Glencairn Heights
109,Vacant Land,"


483 m²",R 1 650 000,Murdock Valley
110,3 Bedroom House,"


326 m²",R 5 950 000,Simons Town Central
